Date : 2023-12-11 20:32:15
Directory : /Users/rose/Desktop/immersive/ReacType
Total : 219 files,  56891 codes, 2463 comments, 2180 blanks, all 61534 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/rose/Desktop/immersive/ReacType/app/src/plugins/fetch-plugin.ts                                                  | TypeScript         |         59 |          0 |          4 |         63 |
| /Users/rose/Desktop/immersive/ReacType/app/src/plugins/unpkg-path-plugin.ts                                             | TypeScript         |         24 |          3 |          0 |         27 |
| /Users/rose/Desktop/immersive/ReacType/app/src/public/index-prod.ejs                                                    | HTML               |         15 |          0 |          1 |         16 |
| /Users/rose/Desktop/immersive/ReacType/app/src/public/index.ejs                                                         | HTML               |         23 |          0 |          1 |         24 |
| /Users/rose/Desktop/immersive/ReacType/app/src/public/styles/globalDefaultStyles.ts                                     | TypeScript         |         16 |          0 |          3 |         19 |
| /Users/rose/Desktop/immersive/ReacType/app/src/public/styles/style.css                                                  | CSS                |        665 |         59 |        142 |        866 |
| /Users/rose/Desktop/immersive/ReacType/app/src/public/styles/theme.ts                                                   | TypeScript         |         57 |          1 |          5 |         63 |
| /Users/rose/Desktop/immersive/ReacType/app/src/redux/HTMLTypes.ts                                                       | TypeScript         |        243 |          4 |          3 |        250 |
| /Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/rootReducer.ts                                            | TypeScript         |         14 |          2 |          4 |         20 |
| /Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/slice/appStateSlice.ts                                    | TypeScript         |      1,132 |        146 |         63 |      1,341 |
| /Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/slice/codePreviewSlice.ts                                 | TypeScript         |         23 |          1 |          6 |         30 |
| /Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/slice/contextReducer.ts                                   | TypeScript         |         90 |          6 |         10 |        106 |
| /Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/slice/roomSlice.ts                                        | TypeScript         |         28 |          5 |          3 |         36 |
| /Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/slice/styleSlice.ts                                       | TypeScript         |         23 |          1 |          6 |         30 |
| /Users/rose/Desktop/immersive/ReacType/app/src/redux/store.ts                                                           | TypeScript         |         20 |         13 |          8 |         41 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tree/TreeChart.tsx                                                       | TypeScript JSX     |        146 |         28 |         10 |        184 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tree/useResizeObserver.ts                                                | TypeScript         |         19 |          2 |          3 |         24 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/CSSEditor.tsx                                                   | TypeScript JSX     |         37 |          0 |          3 |         40 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/Canvas.tsx                                                      | TypeScript JSX     |         42 |          0 |          3 |         45 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/CodePreview.tsx                                                 | TypeScript JSX     |         23 |          0 |          4 |         27 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/ComponentTree.tsx                                               | TypeScript JSX     |         43 |          0 |          3 |         46 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/Customization.tsx                                               | TypeScript JSX     |        170 |          0 |          3 |        173 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/HtmlElements.tsx                                                | TypeScript JSX     |         43 |          0 |          4 |         47 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/KeyboardShortcuts.tsx                                           | TypeScript JSX     |         36 |          0 |          3 |         39 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/Pages.tsx                                                       | TypeScript JSX     |         50 |          0 |          4 |         54 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/ReusableComponents.tsx                                          | TypeScript JSX     |         36 |          0 |          4 |         40 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/RouteLinks.tsx                                                  | TypeScript JSX     |         42 |          0 |          3 |         45 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/States.tsx                                                      | TypeScript JSX     |         85 |          0 |          3 |         88 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/Styling.tsx                                                     | TypeScript JSX     |         43 |          0 |          2 |         45 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/Tutorial.tsx                                                    | TypeScript JSX     |        158 |          2 |          3 |        163 |
| /Users/rose/Desktop/immersive/ReacType/app/src/tutorial/TutorialPage.tsx                                                | TypeScript JSX     |        219 |          0 |          6 |        225 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createApplication.util.ts                                          | TypeScript         |        378 |         10 |          7 |        395 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createFiles.util.ts                                                | TypeScript         |         39 |          3 |          2 |         44 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createGatsbyApp.util.ts                                            | TypeScript         |        178 |          5 |          7 |        190 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createGatsbyFiles.util.ts                                          | TypeScript         |         36 |          5 |          1 |         42 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createNextApp.util.ts                                              | TypeScript         |        197 |          6 |          4 |        207 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createNextFiles.util.ts                                            | TypeScript         |         36 |          4 |          6 |         46 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createNonce.ts                                                     | TypeScript         |          4 |          5 |          4 |         13 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createTestSuite.util.ts                                            | TypeScript         |        190 |          3 |         12 |        205 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createTestSuiteClassic.util.ts                                     | TypeScript         |        124 |          0 |         18 |        142 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/createTestSuiteNext.util.ts                                        | TypeScript         |        210 |          0 |         18 |        228 |
| /Users/rose/Desktop/immersive/ReacType/app/src/utils/exportProject.util.ts                                              | TypeScript         |         31 |          2 |          4 |         37 |
| /Users/rose/Desktop/immersive/ReacType/config.js                                                                        | JavaScript         |         11 |          1 |          1 |         13 |
| /Users/rose/Desktop/immersive/ReacType/contribution_documentation.md                                                    | Markdown           |          8 |          0 |          3 |         11 |
| /Users/rose/Desktop/immersive/ReacType/contributors.md                                                                  | Markdown           |         83 |          0 |         84 |        167 |
| /Users/rose/Desktop/immersive/ReacType/electron-builder.yml                                                             | YAML               |         20 |          0 |          1 |         21 |
| /Users/rose/Desktop/immersive/ReacType/mockData.ts                                                                      | TypeScript         |        103 |          3 |          9 |        115 |
| /Users/rose/Desktop/immersive/ReacType/package-lock.json                                                                | JSON               |     34,996 |          0 |          1 |     34,997 |
| /Users/rose/Desktop/immersive/ReacType/package.json                                                                     | JSON               |        297 |          0 |          1 |        298 |
| /Users/rose/Desktop/immersive/ReacType/playwright.config.ts                                                             | TypeScript         |          0 |         68 |         10 |         78 |
| /Users/rose/Desktop/immersive/ReacType/prettierrc.json                                                                  | JSON               |          5 |          0 |          1 |          6 |
| /Users/rose/Desktop/immersive/ReacType/server/README.md                                                                 | Markdown           |         16 |          0 |          7 |         23 |
| /Users/rose/Desktop/immersive/ReacType/server/assets/renderDemo.css                                                     | CSS                |        169 |          0 |         10 |        179 |
| /Users/rose/Desktop/immersive/ReacType/server/controllers/cookieController.ts                                           | TypeScript         |         23 |          3 |         10 |         36 |
| /Users/rose/Desktop/immersive/ReacType/server/controllers/marketplaceController.ts                                      | TypeScript         |        113 |         29 |         11 |        153 |
| /Users/rose/Desktop/immersive/ReacType/server/controllers/projectController.ts                                          | TypeScript         |         68 |         28 |          7 |        103 |
| /Users/rose/Desktop/immersive/ReacType/server/controllers/sessionController.ts                                          | TypeScript         |         82 |        115 |          8 |        205 |
| /Users/rose/Desktop/immersive/ReacType/server/controllers/userController.ts                                             | TypeScript         |        127 |         13 |          9 |        149 |
| /Users/rose/Desktop/immersive/ReacType/server/controllers/userStylesController.ts                                       | TypeScript         |         18 |          1 |          3 |         22 |
| /Users/rose/Desktop/immersive/ReacType/server/graphQL/resolvers/mutation.ts                                             | TypeScript         |        143 |         13 |         22 |        178 |
| /Users/rose/Desktop/immersive/ReacType/server/graphQL/resolvers/query.ts                                                | TypeScript         |         57 |         10 |          8 |         75 |
| /Users/rose/Desktop/immersive/ReacType/server/graphQL/schema/typeDefs.ts                                                | TypeScript         |         31 |          8 |          8 |         47 |
| /Users/rose/Desktop/immersive/ReacType/server/interfaces.ts                                                             | TypeScript         |         47 |          3 |         10 |         60 |
| /Users/rose/Desktop/immersive/ReacType/server/models/Oauth-model.ts                                                     | TypeScript         |         13 |          0 |          6 |         19 |
| /Users/rose/Desktop/immersive/ReacType/server/models/reactypeModels.ts                                                  | TypeScript         |         76 |         19 |         11 |        106 |
| /Users/rose/Desktop/immersive/ReacType/server/routers/auth.ts                                                           | TypeScript         |         66 |          1 |         13 |         80 |
| /Users/rose/Desktop/immersive/ReacType/server/routers/passport-setup.ts                                                 | TypeScript         |         90 |          0 |          7 |         97 |
| /Users/rose/Desktop/immersive/ReacType/server/routers/stylesRouter.ts                                                   | TypeScript         |          7 |          1 |          2 |         10 |
| /Users/rose/Desktop/immersive/ReacType/server/server.ts                                                                 | TypeScript         |        201 |         93 |         56 |        350 |
| /Users/rose/Desktop/immersive/ReacType/server/tsconfig.json                                                             | JSON with Comments |         15 |          4 |          2 |         21 |
| /Users/rose/Desktop/immersive/ReacType/src/custom-aws-exports.js                                                        | JavaScript         |         21 |          1 |          3 |         25 |
| /Users/rose/Desktop/immersive/ReacType/tsconfig.json                                                                    | JSON with Comments |         28 |          1 |          1 |         30 |
| /Users/rose/Desktop/immersive/ReacType/tslint.json                                                                      | JSON               |         18 |          0 |          1 |         19 |
| /Users/rose/Desktop/immersive/ReacType/webpack.config.js                                                                | JavaScript         |         80 |         21 |          3 |        104 |
| /Users/rose/Desktop/immersive/ReacType/webpack.development.js                                                           | JavaScript         |         25 |         28 |          1 |         54 |
| /Users/rose/Desktop/immersive/ReacType/webpack.production.js                                                            | JavaScript         |         17 |          5 |          2 |         24 |
| Total                                                                                                                   |                    |     56,891 |      2,463 |      2,180 |     61,534 |
+-------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
